UWID,DateTime,Depth,temp,wqx.id,nhd_id
ME,1995-08-14,11.5,15.7,,nhd_13293262
ME,1995-08-14,12,14.7,,nhd_13293262
ME,1995-08-14,12.5,14,,nhd_13293262
ME,1995-08-14,13,13.3,,nhd_13293262
ME,1995-08-14,13.5,13.1,,nhd_13293262
ME,1995-08-14,14,13,,nhd_13293262
ME,1995-08-14,14.5,12.8,,nhd_13293262
ME,1995-08-14,15,12.7,,nhd_13293262
ME,1995-08-14,15.5,12.4,,nhd_13293262
ME,1995-08-14,16,12.2,,nhd_13293262
ME,1995-08-14,16.5,12,,nhd_13293262
ME,1995-08-14,17,11.8,,nhd_13293262
ME,1995-08-14,17.5,11.6,,nhd_13293262
ME,1995-08-14,18,11.5,,nhd_13293262
ME,1995-08-14,19,11.4,,nhd_13293262
ME,1995-08-14,20,11.2,,nhd_13293262
ME,1995-08-14,21,11.1,,nhd_13293262
ME,1995-08-14,22,11,,nhd_13293262
ME,1995-08-14,23,11,,nhd_13293262
ME,1995-08-30,0,25,,nhd_13293262
ME,1995-08-30,1,25.1,,nhd_13293262
ME,1995-08-30,2,25.1,,nhd_13293262
ME,1995-08-30,3,25.1,,nhd_13293262
ME,1995-08-30,4,25.1,,nhd_13293262
ME,1995-08-30,5,25.1,,nhd_13293262
ME,1995-08-30,6,25,,nhd_13293262
ME,1995-08-30,7,25,,nhd_13293262
ME,1995-08-30,8,24.8,,nhd_13293262
ME,1995-08-30,8.5,22.8,,nhd_13293262
ME,1995-08-30,9,20.7,,nhd_13293262
ME,1995-08-30,9.5,18.9,,nhd_13293262
ME,1995-08-30,10,18.1,,nhd_13293262
ME,1995-08-30,10.5,17.4,,nhd_13293262
ME,1995-08-30,11,16.5,,nhd_13293262
ME,1995-08-30,11.5,15.6,,nhd_13293262
ME,1995-08-30,12,14.9,,nhd_13293262
ME,1995-08-30,12.5,14.2,,nhd_13293262
ME,1995-08-30,13,14,,nhd_13293262
ME,1995-08-30,14,13.3,,nhd_13293262
ME,1995-08-30,15,12.8,,nhd_13293262
ME,1995-08-30,16,12.2,,nhd_13293262
ME,1995-08-30,17,11.8,,nhd_13293262
ME,1995-08-30,18,11.7,,nhd_13293262
ME,1995-08-30,19,11.5,,nhd_13293262
ME,1995-08-30,20,11.2,,nhd_13293262
ME,1995-08-30,21,11.1,,nhd_13293262
ME,1995-08-30,22,11,,nhd_13293262
ME,1995-08-30,23,11,,nhd_13293262
ME,1995-08-30,24,11,,nhd_13293262
ME,1995-09-11,0,20.8,,nhd_13293262
ME,1995-09-11,1,20.9,,nhd_13293262
ME,1995-09-11,2,20.9,,nhd_13293262
ME,1995-09-11,3,20.9,,nhd_13293262
ME,1995-09-11,4,20.9,,nhd_13293262
ME,1995-09-11,5,20.9,,nhd_13293262
ME,1995-09-11,6,20.9,,nhd_13293262
ME,1995-09-11,7,20.9,,nhd_13293262
ME,1995-09-11,8,20.9,,nhd_13293262
ME,1995-09-11,9,20.9,,nhd_13293262
ME,1995-09-11,10,20.9,,nhd_13293262
ME,1995-09-11,10.5,20.8,,nhd_13293262
ME,1995-09-11,11,18,,nhd_13293262
ME,1995-09-11,11.5,17.3,,nhd_13293262
ME,1995-09-11,12,15.6,,nhd_13293262
ME,1995-09-11,12.5,13.9,,nhd_13293262
ME,1995-09-11,13,13.6,,nhd_13293262
ME,1995-09-11,13.5,13.2,,nhd_13293262
ME,1995-09-11,14,12.9,,nhd_13293262
ME,1995-09-11,14.5,12.6,,nhd_13293262
ME,1995-09-11,15,12.4,,nhd_13293262
ME,1995-09-11,15.5,12.2,,nhd_13293262
ME,1995-09-11,16,12.1,,nhd_13293262
ME,1995-09-11,17,11.8,,nhd_13293262
ME,1995-09-11,18,11.6,,nhd_13293262
ME,1995-09-11,19,11.5,,nhd_13293262
ME,1995-09-11,20,11.3,,nhd_13293262
ME,1995-09-11,21,11.2,,nhd_13293262
ME,1995-09-11,22,11.2,,nhd_13293262
ME,1995-09-11,23,11.1,,nhd_13293262
